variable,year,value
medianincome,2001,56531
medianincome,2002,55871
medianincome,2003,55823
medianincome,2004,55629
medianincome,2005,56224
medianincome,2006,56663
medianincome,2007,57432
medianincome,2008,55376
medianincome,2009,54988
medianincome,2010,53568
medianincome,2011,52751
medianincome,2012,52666
medianincome,2013,54525
tuition,2001,11613
tuition,2002,12628
tuition,2003,13478
tuition,2004,14005
tuition,2005,14297
tuition,2006,14730
tuition,2007,14904
tuition,2008,15611
tuition,2009,16301
tuition,2010,16919
tuition,2011,17332
tuition,2012,17747
tuition,2013,18110
